"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"VNM",2001,47433.13018443488653262,738.91930858602010840
"VNM",2002,49625.43782322302545180,554.39992351107317333
"VNM",2003,43007.84844743013473780,828.47436646116532429
"VNM",2004,73880.88153635137114681,1162.45506664945100233
"VNM",2005,102211.11878170454511462,1483.56584752151901678
"VNM",2006,78777.19252676809530994,1248.96406243179969830
"VNM",2007,80225.30123363219794737,1273.83401993097737192
"VNM",2008,108285.75669399915676882,1063.28357638586207527
"VNM",2009,137716.23297632672437414,1135.49881155757641451
"VNM",2010,174256.19388177314835907,2603.82577181845792236
"VNM",2011,130786.40739750344572850,1237.88399693929579654
"VNM",2012,181241.52762621215349624,1987.95234574404801564
"VNM",2013,132423.22411348441322780,660.01689330120660195
"VNM",2014,217341.52936374433894266,1457.54304175139106416
"VNM",2015,217883.20961145726421839,1277.23092097972841242
"VNM",2016,353446.02068470965644653,3269.74669117572920051
"VNM",2017,286940.29223712722544541,1860.63747050163660446
"VNM",2018,225154.89131662676654178,1565.43203599816321661
"VNM",2019,216779.39610146027436872,2119.32893671899927057
"VNM",2020,207640.59177030094632277,2015.60896456743131196
"VNM",2021,193074.06740109530418371,1954.82169405853744855
"VNM",2022,165142.05846430811491832,1215.77983062706272530
