Province,Tree Lost,Co2
Hà Nội,118,39069
Hà Giang,100,56358
Cao Bằng,34,41995
Bắc Kạn,7209,6012093
Tuyên Quang,6957,4498725
Lào Cai,0,119
Điện Biên,20,5430
Lai Châu,651,374478
Sơn La,11792,9288696
Yên Bái,7114,3935474
Hoà Bình,8377,4431122
Thái Nguyên,788,530126
Lạng Sơn,0,170
Quảng Ninh,3525,3197819
Bắc Giang,1459,675239
Phú Thọ,7568,5230459
Vĩnh Phúc,6559,4041888
Bắc Ninh,2278,1561822
Hải Dương,161,215135
Hải Phòng,917,713845
Hưng Yên,11020,5099215
Thái Bình,18142,10472351
Hà Nam,73,74350
Nam Định,16,9316
Ninh Bình,62,35049
Thanh Hóa,353,188296
Nghệ An,3941,1715155
Hà Tĩnh,145,137518
Quảng Bình,29,29147
Quảng Trị,10646,8003936
Thừa Thiên Huế,7517,5173251
Đà Nẵng,4660,3100755
Quảng Nam,1073,531011
Quảng Ngãi,16899,10900592
Bình Định,8015,5723168
Phú Yên,3874,1700655
Khánh Hòa,6288,4122464
Ninh Thuận,1654,936074
Bình Thuận,1337,1154205
Kon Tum,29414,19108056
Gia Lai,243,205514
Đắk Lắk,514,264469
Đắk Nông,6780,5739544
Lâm Đồng,8557,5546522
Bình Phước,10788,7078881
Tây Ninh,27433,20283989
Bình Dương,19852,15687216
Đồng Nai,13535,12310453
Bà Rịa - Vũng Tàu,15021,10594669
Hồ Chí Minh,228,167498
Long An,5418,2504586
Tiền Giang,2071,1270981
Bến Tre,9342,7432112
Trà Vinh,2,855
Vĩnh Long,11403,9305608
Đồng Tháp,13502,10494449
An Giang,170,81387
Kiên Giang,36,13323
Cần Thơ,12676,10413609
Hậu Giang,11,4289
Sóc Trăng,447,435889
Bạc Liêu,4749,3777959
Cà Mau,4648,2346239
