"iso","alert__year","alert__week","alert__count","confidence__cat"
"VNM",2012,1,2,"h"
"VNM",2012,3,25,"h"
"VNM",2012,4,37,"h"
"VNM",2012,5,19,"h"
"VNM",2012,6,208,"h"
"VNM",2012,7,42,"h"
"VNM",2012,8,166,"h"
"VNM",2012,9,215,"h"
"VNM",2012,10,167,"h"
"VNM",2012,11,125,"h"
"VNM",2012,12,192,"h"
"VNM",2012,13,63,"h"
"VNM",2012,14,184,"h"
"VNM",2012,15,330,"h"
"VNM",2012,16,198,"h"
"VNM",2012,17,51,"h"
"VNM",2012,18,174,"h"
"VNM",2012,19,47,"h"
"VNM",2012,20,26,"h"
"VNM",2012,23,1,"h"
"VNM",2012,24,11,"h"
"VNM",2012,25,8,"h"
"VNM",2012,26,9,"h"
"VNM",2012,28,46,"h"
"VNM",2012,29,12,"h"
"VNM",2012,31,4,"h"
"VNM",2012,32,13,"h"
"VNM",2012,33,8,"h"
"VNM",2012,34,5,"h"
"VNM",2012,35,7,"h"
"VNM",2012,37,8,"h"
"VNM",2012,38,7,"h"
"VNM",2012,39,2,"h"
"VNM",2012,40,4,"h"
"VNM",2012,41,7,"h"
"VNM",2012,42,9,"h"
"VNM",2012,43,9,"h"
"VNM",2012,44,4,"h"
"VNM",2012,45,6,"h"
"VNM",2012,47,2,"h"
"VNM",2012,48,15,"h"
"VNM",2012,49,2,"h"
"VNM",2012,50,31,"h"
"VNM",2012,51,34,"h"
"VNM",2012,52,32,"h"
"VNM",2013,1,28,"h"
"VNM",2013,2,42,"h"
"VNM",2013,3,30,"h"
"VNM",2013,4,79,"h"
"VNM",2013,5,48,"h"
"VNM",2013,6,68,"h"
"VNM",2013,7,67,"h"
"VNM",2013,8,201,"h"
"VNM",2013,9,263,"h"
"VNM",2013,10,272,"h"
"VNM",2013,11,420,"h"
"VNM",2013,12,461,"h"
"VNM",2013,13,169,"h"
"VNM",2013,14,178,"h"
"VNM",2013,15,116,"h"
"VNM",2013,16,65,"h"
"VNM",2013,17,48,"h"
"VNM",2013,18,31,"h"
"VNM",2013,19,7,"h"
"VNM",2013,20,138,"h"
"VNM",2013,21,64,"h"
"VNM",2013,22,37,"h"
"VNM",2013,23,3,"h"
"VNM",2013,24,13,"h"
"VNM",2013,25,7,"h"
"VNM",2013,26,68,"h"
"VNM",2013,27,2,"h"
"VNM",2013,28,3,"h"
"VNM",2013,29,1,"h"
"VNM",2013,30,1,"h"
"VNM",2013,31,1,"h"
"VNM",2013,33,8,"h"
"VNM",2013,34,47,"h"
"VNM",2013,35,6,"h"
"VNM",2013,36,6,"h"
"VNM",2013,37,2,"h"
"VNM",2013,38,6,"h"
"VNM",2013,40,5,"h"
"VNM",2013,41,24,"h"
"VNM",2013,42,1,"h"
"VNM",2013,44,18,"h"
"VNM",2013,45,5,"h"
"VNM",2013,46,6,"h"
"VNM",2013,47,5,"h"
"VNM",2013,49,37,"h"
"VNM",2013,50,5,"h"
"VNM",2013,51,4,"h"
"VNM",2013,52,33,"h"
"VNM",2014,1,24,"h"
"VNM",2014,2,38,"h"
"VNM",2014,3,32,"h"
"VNM",2014,4,148,"h"
"VNM",2014,5,89,"h"
"VNM",2014,6,282,"h"
"VNM",2014,7,75,"h"
"VNM",2014,8,180,"h"
"VNM",2014,9,287,"h"
"VNM",2014,10,376,"h"
"VNM",2014,11,394,"h"
"VNM",2014,12,287,"h"
"VNM",2014,13,343,"h"
"VNM",2014,14,432,"h"
"VNM",2014,15,183,"h"
"VNM",2014,16,246,"h"
